Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions,Trainer mark,Trainer recall
Lluvia,6,6,Jump,08/09/2020,16:40,09:39,1019,Tail wave,1,0,Nayeli,Andrea
Lluvia,6,7,Tail wave,08/10/2020,16:50,09:33,1003,Tail wave,1,0,Nayeli,Andrea
Lluvia,6,8,Jump,08/11/2020,17:02,09:22,980,Tail wave,1,0,Nayeli,Andrea
Lluvia,6,9,Splash,08/17/2020,16:28,09:11,1003,Sing,1,0,Nayeli,Carlos
Lluvia,6,10,Spin,08/18/2020,17:00,09:37,997,Sing,1,0,Nayeli,Andrea
Lluvia,6,11,Sing,19/08/2020,16:16,09:46,1050,Sing,0,0,Tania,Tania
Lluvia,6,12,Tail wave,20/08/2020,16:52,09:51,1018,Tail wave,1,0,Tania,Nayeli
Lluvia,6,13,Sing,22/08/2020,16:43,09:16,993,Sing,1,0,Nayeli,Andrea
Lluvia,6,14,Clap,23/08/2020,16.23,09:53,1050,Clap,0,0,Tania,Tania
Lluvia,6,15,Spin,08/24/2020,16:25,09:38,1033,Clap,1,0,Tania,Andrea
Lluvia,6,16,Jump,08/26/2020,16:57,09:41,1004,Jump,0,0,Tania,Tania
Lluvia,6,17,Splash,08/27/2020,16:48,08:58,970,Clap,0,0,Andrea,Andrea
Lluvia,6,18,Clap,08/25/2020,16:40,10:09,1049,Clap,1,0,Andrea,Tania
Nemo,6,1,Splash,30/07/2020,16:16,09:00,1004,Spin,1,0,Jenny,Emma
Nemo,6,2,Tail wave,07/31/2020,16:30,09:30,1020,Tail wave,0,0,Benja,Benja
Nemo,6,3,Tail wave,08/06/2020,16:10,09:10,1020,Tail wave,1,0,Jhonny,Vero
Nemo,6,4,Sing,08/07/2020,04:15,09:15,1020,Tail wave,1,0,Benja,Jenny
Nemo,6,5,Spin,08/08/2020,04:30,09:00,990,Spin,0,0,Jhonny,Jhonny
Nemo,6,6,Clap,08/09/2020,04:00,09:30,1050,Clap,1,0,Benja,Jenny
Nemo,6,7,Splash,08/10/2020,04:40,09:40,1020,Clap,1,0,Jhonny,Rafa
Nemo,6,8,Tail wave,07/29/2020,17:20,09:08,968,Tail wave,1,0,Benja,Jenny
Nemo,6,9,Jump,08/12/2020,16:50,09:22,992,Spin,1,0,Benja,Emma
Nemo,6,10,Clap,08/14/2020,16:26,09:15,1009,Spin,0,0,Benja,Benja
Nemo,6,11,Splash,08/15/2020,16:20,09:10,1010,Spin,1,0,Rafa,Emma
Nemo,6,12,Spin,08/18/2020,16:00,10:38,1118,Spin,1,0,Benja,Vero
Nemo,6,13,Jump,08/25/2020,16:10,09:10,1020,Jump,0,0,Benja,Benja
Nemo,6,14,Clap,08/21/2020,16:20,08:40,980,Sing,1,0,Vero,Benja
Nemo,6,15,Sing,08/26/2020,16:00,09:20,1040,Sing,0,0,Benja,Benja
Nemo,6,16,Spin,08/27/2020,16:10,09:40,1050,Spin,1,0,Benja,Jenny
Nemo,6,17,Jump,08/20/2020,16:15,09:30,975,Jump,1,0,Jenny,Vero
Nemo,6,18,Sing,08/28/2020,16:00,09:30,990,Spin,1,0,Jenny,Jhonny
Nouba,6,1,Sing,07/29-30/2020,16:47,09:40,1027,Clap,0,0,Carlos,Carlos
Nouba,6,2,Splash,08/02/2020,16:10,09:40,1050,Splash,1,0,Andrea,Abril
Nouba,6,3,Spin,08/03/2020,16:05,08:59,954,Clap,0,0,Andrea,Andrea
Nouba,6,4,Jump,08/06/2020,16:42,09:10,988,Spin,0,0,Andrea,Andrea
Nouba,6,5,Sing,08/05/2020,16:30,09:01,991,Clap,1,0,Andrea,Nayeli
Nouba,6,6,Sing,08/09/2020,16:24,09:19,1015,Clap,1,0,Andrea,Jorge
Nouba,6,7,Tail wave,08/11/2020,17:22,09:30,968,Clap,1,0,Abril,Andrea
Nouba,6,8,Clap,08/17/2020,16:13,09:32,1056,Sing,1,0,Andrea,Abril
Nouba,6,9,Jump,08/18/2020,16:50,10:09,1039,Sing,1,0,Andrea,Jorge
Nouba,6,10,Splash,08/19/2020,16:36,09:30,1014,Sing,1,0,Andrea,Carlos
Nouba,6,11,Clap,08/20/2020,16:52,09:51,1019,Clap,0,0,Abril,Abril
Nouba,6,12,Tail wave,08/21/2020,16:47,08:38,951,Spin,0,0,Abril,Abril
Nouba,6,13,Clap,08/23/2020,16:25,09:32,1027,Splash,1,0,Carlos,Andrea
Nouba,6,14,Spin,08/24/2020,16:30,09:31,1021,Spin,1,0,Abril,Andrea
Nouba,6,15,Jump,08/26/2020,16:56,09:40,1004,Sing,1,0,Andrea,Abril
Nouba,6,16,Tail wave,08/27/2020,16:44,08:45,961,Clap,0,0,Abril,Abril
Nouba,6,17,Spin,09/01/2020,17:25,09:30,965,Spin,0,0,Abril,Abril
Nouba,6,18,Splash,09/02/2020,16:40,09:56,1036,Splash,1,0,Abril,Andrea
Karina,6,1,Jump,08/02/2020,16:48,09:20,992,Jump,1,0,Abby,Jorge
Karina,6,2,Tail wave,08/05/2020,16:19,09:10,1011,Tail wave,0,0,Abby,Abby
Karina,6,3,Sing,08/03/2020,16:20,08:49,989,Jump,1,0,Abby,Jorge
Karina,6,4,Go down,08/01/2020,16:25,08:44,979,Go down,0,0,Abby,Abby
Karina,6,5,Tail wave,08/06/2020,16:54,09:17,983,Tail wave,1,0,Abby,Juan Carlos
Karina,6,6,Go down,08/09/2020,16:40,09:33,1013,Tail wave,1,0,Andrea,Jorge
Karina,6,7,Jump,08/10/2020,16:50,09:34,1004,Go down,1,0,Abby,Andrea
Karina,6,8,Jump,08/11/2020,17:02,09:19,977,Go down,1,0,Andrea,Abby
Karina,6,9,Spin,08/19/2020,16:16,09:45,1049,Tail wave,1,0,Abby,Andrea
Karina,6,10,Go down,08/20/2020,16:52,09:52,1020,Tail wave,1,0,Abby,Jorge
Karina,6,11,Spin,08/21/2020,16:47,09:23,996,Spin,0,0,Andrea,Andrea
Karina,6,12,Clap,08/22/2020,16:43,09:16,993,Spin,1,0,Andrea,Abby
Karina,6,13,Spin,08/27/2020,16:48,08:58,970,Spin,1,0,Andrea,Abby
Karina,6,14,Sing,08/23/2020,16:23,09:53,1050,Spin,0,0,Abby,Abby
Karina,6,15,Clap,08/30/2020,16:45,09:42,1018,Clap,0,0,Abby,Abby
Karina,6,16,Sing,08/31/2020,16:44,09:50,1026,Clap,1,0,Abby,Nayeli
Karina,6,17,Clap,09/03/2020,16:50,09:30,1000,Clap,1,0,Abby,Andrea
Karina,6,18,Tail wave,09/09/2020,16:45,09:39,1014,Tail wave,1,0,Jorge,Abby
Eva,7,1,Sing,09/12/2020,10:20,16:51,391,Sing,0,1,Gris,Gris
Eva,7,2,Splash,09/14/2020,09:35,16:43,428,Sing,1,1,Gris,Tania
